# CMAP = /home/josie/irysSolveResults/fa2cmap/chilense_pilon_corrected_assembly.ArcsGraph.scaffolds_BSSSI_0kb_0labels.cmap
# filter: Minimum Labels = 0
# filter: Minimum Size (kb) = 0
CompntId	CompntName	CompntLength
1	scaffold1,4776454,f1001Z4776454	4776454
2	scaffold2,6107229,f943z254442k17a0.11m10_f1002Z4628844k24a0.08m10_r185z234828k13a0.07m10_f101z254478k6a0.16m10_f2734z734637	6107269
3	scaffold3,4074963,f1003Z4074963	4074963
4	scaffold4,4044242,f1006Z4044242	4044242
5	scaffold5,3814414,f1020Z3742455k17a0.11m10_f1569z71959	3814424
6	scaffold6,4512410,f1005Z3709794k12a0.16m10_r2308z802616	4512420
7	scaffold7,3457090,f1009Z3457090	3457090
8	scaffold8,3414520,f1040Z3414520	3414520
9	scaffold9,3421111,f1004Z3375328k7a0.28m10_f1877z45783	3421121
10	scaffold10,2986237,f1008Z2986237	2986237
11	scaffold11,2882135,f1014Z2882135	2882135
12	scaffold12,2832918,f1010Z2832918	2832918
13	scaffold13,2950715,f1403z156030k10a0.1m10_f1045Z2794685	2950725
14	scaffold14,2667947,f1090Z2667947	2667947
15	scaffold15,3097152,f2513z484169k8a0.25m10_f1027Z2612983	3097162
16	scaffold16,2624650,f1007Z2494865k5a0.2m10_f876z129785	2624660
17	scaffold17,2476495,f1015Z2476495	2476495
18	scaffold18,2450689,f1065Z2450689	2450689
19	scaffold19,2450400,f1011Z2450400	2450400
20	scaffold20,4576978,f1018Z2425306k7a0.14m10_r1019z2151672	4576988
21	scaffold21,2388958,f1012Z2388958	2388958
22	scaffold22,2537730,f686z151362k7a0.14m10_f1013Z2386368	2537740
23	scaffold23,2300708,f1016Z2300708	2300708
24	scaffold24,2361167,r1572z71822k11a0.18m10_f1064Z2289345	2361177
25	scaffold25,3255549,f1077Z2260223k9a0.11m10_r2116z995326	3255559
26	scaffold26,2566105,f1022Z2233950k26a0.07m10_r257z332155	2566115
27	scaffold27,2357274,f1038Z2213302k12a0.16m10_r1271z143972	2357284
28	scaffold28,2206602,f1017Z2206602	2206602
29	scaffold29,2152701,f1029Z2152701	2152701
30	scaffold30,3497957,f1088z1124738k18a0.11m10_f1031Z2144499k6a0.16m10_r209z228720	3497977
31	scaffold31,2119159,f1021Z2119159	2119159
32	scaffold32,2392212,f195z283500k11a0.09m10_f1060Z2108712	2392222
