xMapId	refQry	refId	leftRefBkpt	rightRefBkpt	alignmentOrientation	ref_leftBkpt_toCut	ref_rightBkpt_toCut	ref_toDiscard	refQry	qryId	leftQryBkpt	rightQryBkpt	alignmentOrientation	qry_leftBkpt_toCut	qry_rightBkpt_toCut	qry_toDiscard
id/-1	ref	id/-1	position/-1	position/-1	+/-	okay/cut/-	okay/cut/-	okay/exclude/-	qry	id/-1	position/-1	position/-1	+/-	okay/cut/-	okay/cut/-	okay/exclude/-
457	ref	272	786873	-1	-	cut	okay	okay	qry	8	212104	-1	-	okay	okay	okay
806	ref	594	93170	-1	+	cut	okay	okay	qry	3010	93358	-1	+	okay	okay	okay
17	ref	6	3768442	-1	-	cut	okay	okay	qry	165	217799	-1	-	okay	okay	okay
175	ref	94	101058	-1	-	okay	okay	okay	qry	2381	228532	-1	-	cut	okay	okay
1005	ref	884	-1	254214	+	okay	cut	okay	qry	668	-1	141026	+	okay	okay	okay
516	ref	310	-1	741071	+	okay	cut	okay	qry	62	-1	517888	+	okay	okay	okay
232	ref	126	504201	-1	+	cut	okay	okay	qry	374	121297	-1	+	okay	okay	okay
940	ref	769	243664	-1	-	cut	okay	okay	qry	1404	88253	-1	-	okay	okay	okay
278	ref	146	1030058	-1	+	cut	okay	okay	qry	209	135711	-1	+	okay	okay	okay
355	ref	198	118148	-1	-	cut	okay	okay	qry	53	121005	-1	-	okay	okay	okay
404	ref	231	-1	1824442	-	okay	cut	okay	qry	2334	-1	138660	-	okay	okay	okay
260	ref	138	-1	773911	+	okay	cut	okay	qry	1146	-1	224351	+	okay	okay	okay
41	ref	16	1509466	-1	+	cut	okay	okay	qry	1781	78982	-1	+	okay	okay	okay
299	ref	162	674107	797710	-	okay	cut	okay	qry	1020	242032	118807	-	cut	okay	okay
685	ref	468	-1	479459	-	okay	cut	okay	qry	1746	-1	112455	-	okay	okay	okay
671	ref	441	-1	137622	+	okay	cut	okay	qry	1792	-1	122495	+	okay	okay	okay
344	ref	189	1393950	-1	-	cut	okay	okay	qry	28	416290	-1	-	okay	okay	okay
255	ref	135	884105	-1	-	cut	okay	okay	qry	311	196772	-1	-	okay	okay	okay
287	ref	155	872639	-1	+	cut	okay	okay	qry	64	91383	-1	+	okay	okay	okay
976	ref	824	-1	218087	-	okay	cut	okay	qry	1241	-1	57025	-	okay	okay	okay
337	ref	187	342993	-1	-	okay	okay	okay	qry	1185	115583	-1	-	cut	okay	okay
201	ref	105	873211	-1	-	cut	okay	okay	qry	139	242105	-1	-	okay	okay	okay
1028	ref	927	-1	74847	-	okay	cut	okay	qry	58	-1	276088	-	okay	okay	okay
632	ref	413	-1	235861	-	okay	cut	okay	qry	239	-1	113674	-	okay	okay	okay
1093	ref	1075	-1	281817	+	okay	cut	okay	qry	212	-1	469256	+	okay	okay	okay
353	ref	195	600548	-1	-	cut	okay	okay	qry	2239	142534	-1	-	okay	okay	okay
485	ref	291	137279	-1	-	cut	okay	okay	qry	511	320573	-1	-	okay	okay	okay
453	ref	271	-1	284021	-	okay	cut	okay	qry	1466	-1	158154	-	okay	okay	okay
139	ref	77	566123	-1	-	cut	okay	okay	qry	20	224337	-1	-	okay	okay	okay
856	ref	648	220490	-1	-	cut	okay	okay	qry	1432	139903	-1	-	okay	okay	okay
695	ref	478	139717	263008	-	cut	cut	okay	qry	331	312690	189602	-	okay	okay	okay
561	ref	352	382472	-1	+	cut	okay	okay	qry	1537	80450	-1	+	okay	okay	okay
828	ref	616	-1	207139	-	okay	cut	okay	qry	486	-1	69797	-	okay	okay	okay
448	ref	266	533387	-1	-	cut	okay	okay	qry	168	86669	-1	-	okay	okay	okay
125	ref	67	-1	1041082	+	okay	cut	okay	qry	1370	-1	167327	+	okay	okay	okay
161	ref	88	690252	1025477	-	cut	cut	okay	qry	177	436964	103556	-	okay	okay	okay
294	ref	158	-1	1338193	+	okay	cut	okay	qry	1194	-1	140863	+	okay	okay	okay
282	ref	147	881296	-1	-	cut	okay	okay	qry	104	334415	-1	-	okay	okay	okay
568	ref	357	789210	-1	+	cut	okay	okay	qry	22	256505	-1	+	okay	okay	okay
468	ref	282	-1	180193	+	okay	cut	okay	qry	2620	-1	113293	+	okay	okay	okay
57	ref	27	-1	2111483	-	okay	cut	okay	qry	698	-1	70979	-	okay	okay	okay
214	ref	118	-1	757815	-	okay	cut	okay	qry	551	-1	144065	-	okay	okay	okay
436	ref	257	294849	-1	+	cut	okay	okay	qry	2230	76638	-1	+	okay	okay	okay
476	ref	285	-1	122214	+	okay	cut	okay	qry	861	-1	406929	+	okay	okay	okay
9	ref	4	857756	-1	+	cut	okay	okay	qry	940	167740	-1	+	okay	okay	okay
917	ref	730	323677	-1	-	cut	okay	okay	qry	2558	160335	-1	-	okay	okay	okay
995	ref	856	74929	-1	-	cut	okay	okay	qry	941	193684	-1	-	okay	okay	okay
204	ref	108	218228	-1	+	cut	okay	okay	qry	8	357628	-1	+	okay	okay	okay
1030	ref	931	-1	171117	-	okay	cut	okay	qry	3423	-1	87056	-	okay	okay	okay
920	ref	735	196364	-1	-	cut	okay	okay	qry	1523	180674	-1	-	okay	okay	okay
975	ref	821	-1	143082	+	okay	cut	okay	qry	728	-1	168834	+	okay	okay	okay
168	ref	91	-1	1338948	-	okay	cut	okay	qry	298	-1	81456	-	okay	okay	okay
853	ref	645	-1	240056	-	okay	okay	okay	qry	223	-1	33853	-	okay	cut	okay
32	ref	14	-1	292912	-	okay	cut	okay	qry	2325	-1	78954	-	okay	okay	okay
235	ref	128	-1	413469	-	okay	cut	okay	qry	2017	-1	98416	-	okay	okay	okay
69	ref	32	1750770	2041223	-	cut	cut	okay	qry	588	355402	60272	-	okay	okay	okay
1000	ref	870	-1	138641	-	okay	cut	okay	qry	355	-1	807524	-	okay	okay	okay
1037	ref	944	98477	-1	-	cut	okay	okay	qry	712	96496	-1	-	okay	okay	okay
215	ref	118	757755	1052410	+	cut	cut	okay	qry	248	79906	373136	+	okay	okay	okay
964	ref	805	110410	-1	-	cut	okay	okay	qry	1997	165674	-1	-	okay	okay	okay
398	ref	229	423690	-1	-	cut	okay	okay	qry	105	84265	-1	-	okay	okay	okay
800	ref	587	-1	172613	+	okay	okay	okay	qry	689	-1	350876	+	okay	cut	okay
1151	ref	1254	130451	-1	-	cut	okay	okay	qry	459	131888	-1	-	okay	okay	okay
171	ref	92	1181751	-1	+	cut	okay	okay	qry	2029	75262	-1	+	okay	okay	okay
586	ref	374	398333	-1	-	cut	okay	okay	qry	2167	226853	-1	-	okay	okay	okay
999	ref	868	86035	172552	+	cut	cut	okay	qry	40	170952	257158	+	okay	okay	okay
126	ref	67	1033289	-1	+	cut	okay	okay	qry	1299	108410	-1	+	okay	okay	okay
719	ref	502	-1	180980	-	okay	cut	okay	qry	190	-1	305359	-	okay	okay	okay
430	ref	252	1005183	-1	-	okay	okay	okay	qry	3109	130126	-1	-	cut	okay	okay
993	ref	850	168369	-1	+	okay	okay	okay	qry	1143	38283	-1	+	cut	okay	okay
935	ref	759	-1	161748	-	okay	cut	okay	qry	1101	-1	145916	-	okay	okay	okay
832	ref	619	-1	159081	-	okay	cut	okay	qry	2420	-1	101757	-	okay	okay	okay
397	ref	228	110688	-1	+	cut	okay	okay	qry	206	248072	-1	+	okay	okay	okay
887	ref	695	99541	-1	+	cut	okay	okay	qry	910	88372	-1	+	okay	okay	okay
874	ref	675	212306	-1	-	cut	okay	okay	qry	26	207465	-1	-	okay	okay	okay
1175	ref	1383	93224	-1	-	cut	okay	okay	qry	255	139017	-1	-	okay	okay	okay
360	ref	201	-1	131583	+	okay	cut	okay	qry	231	-1	278841	+	okay	okay	okay
321	ref	178	-1	102437	-	okay	cut	okay	qry	1768	-1	127489	-	okay	okay	okay
1108	ref	1121	-1	155179	-	okay	okay	okay	qry	79	-1	39035	-	okay	cut	okay
798	ref	586	-1	137910	+	okay	cut	okay	qry	44	-1	523582	+	okay	okay	okay
547	ref	333	-1	74741	-	okay	cut	okay	qry	649	-1	154774	-	okay	okay	okay
496	ref	299	-1	486132	-	okay	cut	okay	qry	118	-1	603042	-	okay	okay	okay
94	ref	52	298735	423236	-	cut	cut	okay	qry	3846	319145	194851	-	okay	okay	okay
1141	ref	1226	123798	-1	+	cut	okay	okay	qry	70	247244	-1	+	okay	okay	okay
1007	ref	885	-1	164065	+	okay	cut	okay	qry	993	-1	198661	+	okay	okay	okay
659	ref	432	128919	327882	-	cut	cut	okay	qry	44	347068	144528	-	okay	okay	okay
770	ref	557	297718	361230	+	cut	cut	okay	qry	621	77712	140895	+	okay	okay	okay
609	ref	392	595961	-1	+	cut	okay	okay	qry	2268	118097	-1	+	okay	okay	okay
56	ref	27	1546608	-1	-	okay	okay	okay	qry	629	182364	-1	-	cut	okay	okay
755	ref	541	317158	-1	-	cut	okay	okay	qry	2560	77411	-1	-	okay	okay	okay
748	ref	537	48872	-1	+	cut	okay	okay	qry	263	57352	-1	+	okay	okay	okay
101	ref	55	-1	209145	+	okay	cut	okay	qry	151	-1	289826	+	okay	okay	okay
495	ref	298	382984	-1	-	cut	okay	okay	qry	829	133811	-1	-	okay	okay	okay
87	ref	49	384665	-1	+	cut	okay	okay	qry	1515	77737	-1	+	okay	okay	okay
708	ref	494	-1	91975	-	okay	cut	okay	qry	15	-1	137759	-	okay	okay	okay
881	ref	685	-1	175089	-	okay	cut	okay	qry	636	-1	147630	-	okay	okay	okay
1137	ref	1201	44305	-1	+	cut	okay	okay	qry	607	149990	-1	+	okay	okay	okay
1021	ref	914	103361	-1	+	okay	okay	okay	qry	1245	47630	-1	+	cut	okay	okay
838	ref	628	484622	-1	-	cut	okay	okay	qry	805	84519	-1	-	okay	okay	okay
423	ref	250	57609	-1	+	cut	okay	okay	qry	906	159484	-1	+	okay	okay	okay
1152	ref	1255	-1	79597	-	okay	cut	okay	qry	153	-1	160135	-	okay	okay	okay
1254	ref	1910	57540	-1	+	cut	okay	okay	qry	333	150044	-1	+	okay	okay	okay
65	ref	32	284090	-1	+	okay	okay	okay	qry	1544	122777	-1	+	cut	okay	okay
63	ref	30	2950510	-1	+	cut	okay	okay	qry	1772	170453	-1	+	okay	okay	okay
1117	ref	1141	-1	85365	-	okay	cut	okay	qry	42	-1	158177	-	okay	okay	okay
862	ref	655	-1	155428	-	okay	cut	okay	qry	537	-1	94696	-	okay	okay	okay
972	ref	818	112296	-1	-	cut	okay	okay	qry	177	852255	-1	-	okay	okay	okay
51	ref	20	-1	4349553	-	okay	cut	okay	qry	127	-1	327733	-	okay	okay	okay
365	ref	202	648059	-1	-	cut	okay	okay	qry	333	118284	-1	-	okay	okay	okay
64	ref	31	-1	81329	+	okay	cut	okay	qry	1835	-1	80130	+	okay	okay	okay
153	ref	86	118108	-1	-	cut	okay	okay	qry	662	183527	-1	-	okay	okay	okay
982	ref	835	218779	-1	+	cut	okay	okay	qry	272	295523	-1	+	okay	okay	okay
2	ref	1	118194	-1	+	cut	okay	okay	qry	1780	164125	-1	+	okay	okay	okay
1241	ref	1779	81050	-1	-	cut	okay	okay	qry	1003	316559	-1	-	okay	okay	okay
793	ref	582	-1	113914	-	okay	cut	okay	qry	3298	-1	85697	-	okay	okay	okay
1056	ref	996	323213	422588	-	cut	cut	okay	qry	912	304082	205744	-	okay	okay	okay
83	ref	44	337073	-1	-	cut	okay	okay	qry	1221	193599	-1	-	okay	okay	okay
